id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,analyzeVideo,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
6683,0,1,"在Python编辑器中写好程序代码后,在Run菜单中,下列哪个命令可以用来执行程序?( )",Check Module,Run Module,Python shell,任意一个都可以,B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-12-16-50-56/21.mp4?sign=c6772b0b647932d4bada452f95220be4,"9,",2,0,0,编程环境,0,0
6686,0,1,"中国电子学会组织来自全国各地的学生共计90人参加人工智能活动,按参加学生名单顺序,每 10个人一排,若想知道第46个人在哪一排就坐,下列算法中哪一种可以实现?( )",(46-1) % 10 + 1,46 % 10,(46-1) // 10 + 1,46 // 10,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-47-12/22.mp4?sign=eae4519a7b05fbb2b1bb288b2ac4110e,"9,",2,0,0,运算符的运算,0,0
6691,0,1,"在数学计算中,""÷""可以表示除法运算,在Python运算符中,可以用作除法运算的符号是?( )",/,\,÷,%,A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-47-23/23.mp4?sign=4ee727a9f98084e6d62c3c21f49ec5f3,"9,",2,0,0,运算符的运算,0,0
6696,0,1,"下列表达式中,哪两个运行结果完全相同?( ) ①16%2    ②16/2**2    ③16/4   ④16//4",①②,②③,③④,①④,B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-47-34/24.mp4?sign=36656e1b3ae213ae66206d93ef929e7f,"9,",2,0,0,运算符的运算,0,0
6698,0,1,"IDLE编程环境有脚本式编程和交互式编程,对于这两种编程环境,下列说法错误的是?( )","在IDLE主窗口中,可以通过""File→New File"",打开一个新文件","在脚本式编程环境中,运行指令前需要先保存才可以运行","在交互式编程环境中,我们可以修改和保存文件","点开IDLE窗口,主窗口会显示当前安装Python的版本号",C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-47-43/25.mp4?sign=593eba96c6ed59dc93c7f25e0b0d28bc,"9,",2,0,0,编程环境,0,0
6701,0,1,对于Python的说法错误的是?( ),"用户都可以使用Python,不需要支付费用","Python具有跨平台性,可以在不同类型的操作系统上运行使用","Python提供大量的内置对象和内置函数,使用时仅需调用即可实现","Python语言比较人性化,无需注重首行缩进等语法规则",D,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-47-51/26.mp4?sign=8908d69fdb10128509b2fbecb4405f24,"9,",2,0,0,编程环境,0,0
6704,0,1,"爷爷的年龄数与孙子生活过的月数一样多 ,你知道孙子和爷爷各是多大年龄吗?( )",10岁   60岁,12岁   52岁,5岁    60岁,8岁    67岁,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-48-16/27.mp4?sign=06c4df08f175edfc205dfa19a89d1418,"9,",2,0,0,运算符和运算符运算,0,0
6707,0,1,运行程序 >>> print(9%2+9//2) 输出的结果是?( ),2,5.5,5,9,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-48-24/28.mp4?sign=0a10954aa145289fba1676d701ffb6ec,"9,",3,0,0,"运算符的运算,运算符的优先级",0,0
6709,0,1,下面的程序: a='7' print(a==7) 输出的结果是?( ),True,7,"""7""",False,D,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-48-32/28.mp4?sign=707421ea1f6286ef081d04a8302b51f2,"9,",2,0,0,比较运算符,0,0
6711,0,1,"若a=(3+4)*2.0,那么print(a)的输出是?( )",11.0,14,14.0,10,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-10-48-41/30.mp4?sign=843b404204fdea82e0a2a41cc2b8065b,"9,",2,0,0,运算符的运算,0,0
6713,0,1,"输入一个两位数,可以将十位数和个位数对调位置(如:输入18,输出81)输出的程序是?( )","a=int(input(""请输入一个两位数"")) b=a//10 c=a%10 print(c*10+b)","a=int(input(""请输入一个两位数"")) b=a%10 c=a//10 print(c*10+b)","a=int(input(""请输入一个两位数"")) b=a/10 c=a//10 print(c*10+b)","a=int(input(""请输入一个两位数"")) b=a//10 c=a%10 print(c+b)",A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-12-20-19-04/8489206416975028224.mp4?sign=ec0d4b15cfb0ee9fa1b08e6e88aecca4,"9,",3,0,0,运算符的运算,0,0
6715,0,1,"已知a=""11"",b=""22"",那么print(a+b)的输出结果是?( )",11,33,1122,22,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-12-20-19-04/8489206414806573056.mp4?sign=3bef5be9891aa4b55151ece9d6143ece,"9,",2,0,0,float的定义,0,0
6717,0,1,"在Python函数中,用于获取用户输入的是?( )",int(),float(),input(),print(),C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-12-20-19-05/8489206418342371328.mp4?sign=1452535a44f27cd62d082514b2f5d8d2,"9,",1,0,0,input方法,0,0
6719,0,1,"turtle.dot(40),这个语句画出的点的半径大小是?( )",80,40,20,0,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-12-20-19-06/8489206423958544384.mp4?sign=00c1f4a7adb8453d188ad237d9359e3c,"9,",2,0,0,turtle库的画笔体系,0,0
6721,0,1,下面关于turtle.clear()功能说法正确的是?( ),"执行clear()功能后,画笔最终位置一定是在画布中心","执行clear()功能后,画笔的颜色会变为白色","执行clear()功能后,海龟画布窗口会被清空",clear()功能和reset()功能的效果是完全一样的,C,"turtle.clear()功能是清空窗口,但turtle的位置和状态不改变,所以AB两个选项是错误的,reset()功能是清空窗口并且把turtle状态设置为初始状态,效果不完全一样.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-12-20-19-08/8489206431017558016.mp4?sign=e6092347ba6038999d9cd5f3580995f7,"9,",2,0,0,turtle库的画笔体系,0,0
