id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,analyzeVideo,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
7238,0,1,"表达式len(""学史明理增信 ,读史终生受益"") > len("" reading history will benefit you "")的结果是?( )",0,True,False,1,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-47-57/8489409978086678528.mp4?sign=c1a5675224f540ba67f35082e56f7344,"9,",2,0,0,"len知识点,比较运算符",0,0
7239,0,1,表达式(2<1)==False的结果是?( ),None,True,Error,False,B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-47-58/8489409980515180544.mp4?sign=1749606d8c66903191e156bfc3ed649d,"9,",2,0,0,比较运算符,0,0
7240,0,1,"在Python中,type()函数用于查看对象的数据类型,在Python shell 中运行type('6'*20),运行结果为?( )",<class 'int'>,<class 'str'>,<class 'float'>,语法错误,B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-47-58/8489409981760888832.mp4?sign=34c7ba47ff0edc4a6dc84d1aaa4f1487,"9,",1,0,0,float的定义,0,0
7241,0,1,"关于turtle的运动体系中,说法正确的是?( )","turtle.goto(x,y)可以让小海龟直线前进到指定的坐标位置.","turtle.forward(a)可以让小海龟向前移动a个像素,如果a为负数,运动方向不变,只是小海龟自身的方向与原来相反.","turtle.seth(),turtle.left(),turtle.right()的参数均为绝对角度.",turtle.dot()与turtle.circle()的参数均为半径.,A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-01/8489409995681783808.mp4?sign=1aa5a3e24bdc0f0408df3999e81c1c43,"9,",2,0,0,turtle库,0,0
7242,0,1,"在turtle画图中,常常使用turtle.color(color1,color2)指令进行画笔颜色和填充颜色的设置,下列关于该指令使用正确的是?( )","turtle.color(""red"",""yellow"")表示画笔颜色为黄色,背景颜色为红色.","turtle.color(""red"")表示画笔颜色为红色,背景颜色随机.","turtle.color(color1,color2)指令中的参数color2是可选项,可以只有一个颜色参数.","turtle.color(color1,color2)指令中若将color1和color2删掉,即turtle.color(),小海龟在向前走100像素时,画布不会出现小海龟的轨迹.",C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-00/8489409990388572160.mp4?sign=e4689d03b83194c2ba36acbefd825b37,"9,",2,0,0,turtle库的画笔体系,0,0
7243,1,1,"如图所示,想要将一行输出的两句诗词,变成二行输出方式,应该如何写输出指令","print(""床前明月光,疑是地上霜"")","print(""""""床前明月光 疑是地上霜"""""")","print(""床前明月光 疑是地上霜"")","print(""""""床前明月光 疑是地上霜"""""")",D,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-02/8489409996495478784.mp4?sign=42ba5675b9e054bdf2c152d2ea48da61,"9,",1,0,0,print方法,0,0
7244,0,1,"绘制一个半径为5的红色圆点,下列选项不正确的是?( )","import turtle turtle.color(""red"") turtle.dot(10) turtle.done()","import turtle turtle.color(""red"",""red"") turtle.begin_fill() turtle.circle(5) turtle.end_fill() turtle.done()","import turtle turtle.pencolor(""red"") turtle.dot(10) turtle.done()","import turtle turtle.color(""red"") turtle.dot(5) turtle.done()",D,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-03/8489410002417836032.mp4?sign=2ebea84bf1508eb665138648336a1a93,"9,",1,0,0,turtle库的画笔体系,0,0
7245,0,1,下列指令可以方便将画笔设置回到初始位置和初始方向的是?( ),turtle.home(),turtle.clear(),turtle.goto(),turtle.setup(),A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-03/8489410000991772672.mp4?sign=1e2b0919f3881150c65ea5903444e371,"9,",2,0,0,turtle库的画笔体系,0,0
7246,1,1,"如图所示,turtle.circle(100)是绘制一个半径为100的圆,请问画笔从以下哪个点出发开始绘制?( )",A,B,C,D,A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-04/8489410004779229184.mp4?sign=6801644f6d347f9a40ee71b851c48af6,"9,",2,0,0,turtle库的画笔体系,0,0
7247,0,1,Python自带的集成开发环境是?( ),iPython,Dev-C++,Visual Studio Code,IDLE,D,Python自带的集成开发环境是IDLE.,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-04/8489410005546786816.mp4?sign=e6c654739e4981c227451907bbce80fd,"9,",2,0,0,编程环境,0,0
