id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1909072290073464833,0,1,下列哪个软件不能运行 Python 程序?( ),JupyterNotebook,Pycharm,原版的Scratch,IDLE,C,"本题考察的 Python 编程软件,原版的Scratch 不是 Python 的编程软件",0,0,0,0
1909072419154993154,0,1,"下面print语句,哪一个是正确的用法?( )",print 龙腾虎跃,print(龙腾虎跃),print('龙腾虎跃'),print'龙腾虎跃',C,"本题考察的是 print 语句的使用,print 是一个函数,必须要有括号,其次打印的内容是字符串需要用引号包裹",0,0,0,0
1909074260886462466,0,1,"在Python中,下列哪一条语句可以改变画笔当前位置?( )",dot(100),setheading(100),left(100),"goto(100,0)",D,"A选项为画实心圆,画笔位置仍在原处;B选项为设置画笔方向,不改变位置;C选项画笔左转100度,不改变位置;D选项让画笔运动到坐标(100,0),可以改变画笔位置,故D选项正确.",0,0,0,0
1909074387204493313,0,1,下列哪一个可以进行数学中的求余数的运算?( ),**,%,/,//,B,"A选项是幂运算,B选项是取余运算,C选项是除法运算,D选项是整除运算,故B选项正确.",0,0,0,0
1909074494156873729,0,1,15>=8的运算结果是什么?( ),15,8,False,True,D,"题目中15>=8的结果是True,故正确答案为D.",0,0,0,0
1909074640007778306,0,1,"在Python中,缩进是用来表示代码块的层级关系的,可以通过使用空格来缩进代码,每增加一个层块,就增加几个缩进?( )",半个,一个,一个半,任意个都可以,B,"在Python中缩进是必须的,如果缩进不正确,会导致语法错误,所以每增加一个层块,就增加一个缩进.",0,0,0,0
1909074837349781505,0,1,"小新同学想要使用Python程序来计算本次班级捐款的总费用,于是他先定义了一个用来保存总额的变量,以下正确的定义是?( )",num,else,in,and,A,"Python的保留字是一些有特定用途的关键字,在编程中具有特殊的含义,因此用户在自定义变量的时候,不能使用这些保留字,else,in,and都是保留字.",0,0,0,0
1909075226822090753,0,1,下列图形可能是哪段代码执行后的结果?( ),"import turtle turtle.shape(""turtle"") turtle.forward(120) turtle.right(90)","import turtle turtle.shape(""turtle"") turtle.forward(120) turtle.right(-90)","import turtle turtle.shape(""turtle"") turtle.forward(120) turtle.right(180)","import turtle turtle.shape(""turtle"") turtle.forward(120) turtle.right(-180)",A,"根据题意,小海龟初始方向面向右侧移动,小海龟向前走了120,右转90度,A选项符合题意.",0,0,0,0
1909075463500648450,0,1,"已知a=6,b=3,print(a%b)的结果是?( )",2,2.0,0,0.0,C,"a%b为取a和b相除的余数,根据题意,6除以3的余数为0,答案选择C选项.",0,0,0,0
1909075586206834689,0,1,"下列选项中,两个运算符运算优先级相同的是?( )",()和**,/和%,not和>,-和<=,B,"根据Python运算符的优先级,/和%属于乘除运算符一类,优先级相同.",0,0,0,0
1909075777742098434,0,1,"已知以下程序,请问输出结果是?( ) a=int(6.8) b=float(7) a=a+b print(a,b)",14 7.0,14.0 7.0,13.0 7.0,13.0 7,C,6+7.0=13.0 整型和浮点型相加结果是浮点型,0,0,0,0
