id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,analyzeVideo,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
8134,0,1,"关于Python语言的注释,以下选项中描述错误的是?( )",Python语言有两种注释方式:单行注释和多行注释,Python语言的单行注释以#开头,Python多行注释使用###来做为标记,注释用于解释代码原理或者用途,C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-55/8489410220035104768.mp4?sign=230dd637aee04d8d88e4246caf904971,"9,",1,0,0,注释的特点,0,0
8135,1,1,下列代码执行后最有可能绘制出的图形是?( ) import turtle turtle.forward(200) turtle.left(144) turtle.forward(200) turtle.left(144) turtle.forward(200) turtle.left(144) turtle.forward(200) turtle.left(144) turtle.forward(200) turtle.hideturtle(),,,,,B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-55/8489410220991406080.mp4?sign=a1521c33281edd7e25b27ac4b1bd5738,"9,",2,0,0,turtle库的画笔体系,0,0
8136,1,1,下列关于Python中IDLE中基本操作表示正确的是?( ),,,,,A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-56/8489410225613529088.mp4?sign=595075189451570338db9bc492d2f02f,"9,",1,0,0,编程环境,0,0
8137,0,1,"在turtle库中,turtle.speed(a)用于设定画笔的运动速度,关于该指令说法错误的是?( )","在turtle.speed(a)指令中,当参数a的值为0时,画笔的运动速度最慢.","在turtle.speed(a)指令中,turtle.speed(9)使画笔的运动速度比turtle.speed(10)慢.","在turtle.speed(a)指令中,a的数值最小是0,最大是10.","在turtle.speed(a)指令中,除了0之外,数字越大,速度越快.",A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-56/8489410225030520832.mp4?sign=e0922bf8c3ecc4d09c2a969f416d6a49,"9,",2,0,0,turtle库的画笔体系,0,0
8138,0,1,"运行如下代码,在输入数值6后,输出的结果是?( ) a=int(input(""请输入你的年龄"")) print(type(a))",6,6.0,"<class""int"">","<class ""str"">",C,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-57/8489410228008476672.mp4?sign=b52d8b34ccb6bcf03676da8c908a0153,"9,",2,0,0,input方法,0,0
8139,0,1,"如程序所示,绘制完一个半圆圆弧,画笔最终坐标位置是?( ) import turtle turtle.pendown() turtle.circle(50,180) turtle.penup() turtle.done()","(0,50)","(0,100)","(50,0)","(100,0)",B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-58/8489410232928395264.mp4?sign=3a10d62e21dd5cabd00e78a2831bf71b,"9,",2,0,0,turtle库的画笔体系,0,0
8140,0,1,程序print(5+2)的运行结果是?( ),7,('5+2'),5+2,52,A,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-57/8489410230067879936.mp4?sign=f6047e5b0e78c904d11dcb4507eae1a7,"9,",1,0,0,运算符的运算,0,0
8141,0,1,"运行语句turtle.goto(-400,-300),画笔将到?( )",画布左上角,画布右上角,画布右下角,画布左下角,D,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-58/8489410234367041536.mp4?sign=f5e79d165afb75f09fde9cb81ea08d18,"9,",2,0,0,turtle库的画笔体系,0,0
8143,0,1,"运行指令print(3*5>2 and 6>=6.0),请问根据运算的优先级,首先进行哪一部分的运算?( )",5>2,6>=6.0,and,3*5,D,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-59/8489410236644548608.mp4?sign=05546f787c274f4fcf3910c297210b84,"9,",2,0,0,"运算符的优先级,逻辑运算符",0,0
8145,0,1,下列程序运行的结果是?( ) a=10 b=15 b+=a print(b),10,25,15,30,B,,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-59/8489410238066417664.mp4?sign=bfe01b0eff7e71e20dac57607b3f1bca,"9,",2,0,0,赋值运算符,0,0
8147,0,1,Python程序保存后的文件扩展名是?( ),.sb3,.py,.pn,.cpp,B,Python程序设计语言的源程序是以.py为扩展名的,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-48-59/8489410238565539840.mp4?sign=86d54bc0a716359bdd1d67355da4d296,"9,",2,0,0,编程环境,0,0
8158,0,1,下列不是Python保留字的是?( ),and,false,True,import,B,"False是保留字,但false不是",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-49-00/8489410240088072192.mp4?sign=8f79c35b23b879e50d1b5d0e7d2c988b,"9,",1,0,0,保留字,0,0
8163,0,1,"根据Python变量的命名规则,下列不可以作为变量名的是?( )",a2b,2ab,ab2,_ab2,B,"根据python变量的命名规则,数字不能作为变量的开头",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-49-00/8489410243686785024.mp4?sign=269e4d06467db14a4c3c65da4f77285c,"9,",1,0,0,变量及变量名,0,0
8166,0,1,"下面的turtle命令,不可能改变画笔的颜色的是?( )",turtle.fillcolor(),turtle.color(),turtle.pencolor(),"turtle.color(255,255,255)",A,"turtle.fillcolor()改变的是填充颜色; turtle.color(255,255,255)可以既可以改变画笔颜色,也可以改变填充颜色,255代表的是颜色的RGB的值.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-49-01/8489410244726972416.mp4?sign=d4add2b630153ca7df604ff9ff2797c1,"9,",1,0,1,turtle库的画笔体系,0,0
8168,0,1,"turtle画图的功能中,能够实现隐藏画笔的是?( )",turtle.undo(),turtle.shape(),turtle.penup(),turtle.hideturtle(),D,隐藏画笔的功能是hideturtle().,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-49-01/8489410246601826304.mp4?sign=415efb3faa96347174b9c60219e4a3c9,"9,",2,0,0,turtle库的画笔体系,0,0
8170,0,1,print(34 * 2.0)的输出结果是?( ) 346868.034*2.0 print(34 * 2.0)的输出结果是?( ),34,68,68.0,34*2.0,C,"print()能直接输出运算的结果,34 * 2.0的运算结果格式是浮点数68.0.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-49-02/8489410248266964992.mp4?sign=be251b31efe401b55debd6d095fb8da7,"9,",2,0,1,运算符的运算,0,0
