id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1815264814188634114,0,1,"在使用turtle绘制图形时,如果要控制小海龟移动到 x 坐标为 200,y 坐标为150 的位置,以下代码能够实现效果的是?( )","turtle.go(150, 200)","turtle.go(200, 150)","turtle.goto(150, 200)","turtle.goto(200, 150)",D,"本题考察的是 turtle 的 goto 语句,goto 语句的第一个参数是 x 坐标,第二个参数是 y 坐标,所以答案是 turtle.goto(200, 150) .",2,0,0,turtle库的画笔体系,0,0
1815268495221248002,0,1,"下列关于Python程序设计语言的说法,错误的是?( )",Python 是一门面向对象的编程语言,Python 程序文件后缀是 .py,Python 程序只能在 IDLE 上运行,Python 程序支持多种操作系统,C,"本题考察的 Python 编程基础,Python 不只能够在 IDLE 上运行,还可以在 Pycharm 等软件上运行.",3,0,0,编程环境,0,0
1815268663263285249,0,1,"在Python中,使用type()函数可以获取参数的数据类型,那么运行type(""int"")的运行结果是?( )",<class 'int'>,<class 'str'>,<class 'float'>,<class 'bool'>,B,"type()函数可以返回传入参数的数据类型,本题中""int""是一个字符串,并非是整数数据类型,故运行结果是<class 'str'>.",3,0,0,"print方法,float的定义",0,0
1815268778220769282,0,1,使用下列哪一项可以导入turtle画图模块?( ),import turtle,import Turtle,turtle import,import turtle.Turtle,A,"使用import去导入工具箱,画图模块的英文是turtle,故正确导入应为import turtle,A选项正确.",2,0,0,turtle库的画笔导入,0,0
1815270154915729410,0,1,"使用turtle.circle(4,360,6)绘制的是什么图形?( )",半径为4的圆,半径为360的圆,六边形,正方形,C,"circle()方法,第一个参数为半径,第二个参数为绘制的角度,第三个参数为绘制的边数,故实际绘制出的是半径为4的圆的内接六边形,C选项正确.",3,0,0,turtle库的画笔体系,0,0
1815271745515069441,0,1,下列表达式的结果最大的是?( ),20%4,20**2,20*4,20//4,B,"%表示求余运算,20%4结果是0;**表示幂运算,20**2结果是400;*表示乘法运算,20*4结果是80;//表示整除运算,20//4结果是5.",3,0,0,运算符的运算,0,0
1815272573879898113,0,1,程序1 程序2 的运行结果分别是?( ),3  False,True  2,True  3,3  True,A,"程序1中,5>4是正确的,结果为True,即1,1+2=3,输出a的结果是3;程序2中,""+""运算优先级比"">""高,先计算4+2=6,5>6是错误的,结果为False.",2,0,0,逻辑运算符,0,0
1815272849162280961,0,1,下列关于turtle.circle()和turtle.dot()指令说法正确的是?( ),turtle.circle()指令只能绘制圆或者圆弧,"turtle.circle()的参数为直径,turtle.circle(30)绘制的图形半径为15",turtle.dot()指令的作用是绘制圆点,"turtle.dot()的参数为半径,turtle.dot(30)绘制的图形半径为30",C,"turtle.circle还可以绘制多边形等;turtle.circle()参数为半径,turtle.dot()的参数为直径,作用是绘制圆点.故答案选择C",3,0,0,turtle库的画笔体系,0,0
1815274141144502273,0,1,"关于turtle库说法正确的是?( ) ①画布的位置是固定的,无法调整 ②write()指令可以在画布中添加文字 ③goto(100,100)指的是将画笔移动到坐标为(100,100)的位置上 ④dot(100)可以绘制出一个半径为100的圆",①②,①③,②③,③④,C,"画布可调整,dot(100)是直径为100,故选②③",3,0,0,turtle库的画笔体系,0,0
1815274641726296065,0,1,"在Turtle库中,既可以设置画笔颜色,又可以设置填充颜色的指令是?( )",turtle.color(),turtle.bgcolor(),turtle.pencolor(),turtle.fill_color(),A,"turtle.color()这个函数可以接受不同的参数来定义颜色,包括画笔颜色和填充颜色.如果只传入一个参数,那么这个颜色将同时被用作画笔颜色和填充颜色.",2,0,0,turtle库的画笔体系,0,0
