id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
6079,0,1,二进制数101100111对应的十六进制数的数值是? ( ),6,369,167,165,C,,"12,",2,0,0,"编码,数制",0,0
6081,0,1,Python中表示合法的八进制整数是? ( ),0o129,0o12A,0O1708,001207,D,,"12,",2,0,0,"编码,数制",0,0
6083,0,1,"在Python中,int('10',16)语句的作用是? ( )",将十进制数10转化为十六进制数16,将十六进制数10转化为十进制数16,"将字符串""10""转化为二进制整数","将字符串""10""转化为十六进制整数",B,,"12,",2,0,0,核心内置函数,0,0
6086,0,1,"八进制7与十六进制7相加,其对应的十进制数是? ( )",21,7,14,77,C,,"12,",2,0,0,"编码,数制",0,0
6088,0,1,"关于语句f=open('c:/abc.csv', 'r'),下列描述不正确的是? ( )",f是变量名;,以只读方式打开文件;,"如果文件abc.csv不存在,会创建abc.csv;",'c:/abc.csv'代表c盘中一个名为'abc.csv'的文件.,C,"文件打开方式:r只读,不创建文件.","12,",2,0,0,文件和数据处理,0,0
6090,0,1,"有如下从csv文件中读入数据的程序段: f=open(""abc.csv"",""r"") m=[] for lines in f: m.append(lines.strip(""\n"").split(""\"")) f.close() print(m) 程序中存在错误的地方是? ( )","""r""","lines.strip(""\n"")","split(""\"")",f.close(),C,,"12,",2,0,0,文件和数据处理,0,0
6091,0,1,"对于a=len([2,3,4,5,[7,8],(9,10)]),a的值是? ( )",4,6,8,7,B,,"12,",2,0,0,核心内置函数,0,0
6094,0,1,"有关Python文件常用读写方式的描述,错误的是? ( )",read() 每次读取整个文件,read() 生成的文件内容是一个字符串,readline() 每次只读取文件的一行,"readlines() 每次按行读取整个文件内容,将读取到的内容放到一个字符串中",D,"readlines() 每次按行读取整个文件内容,将读取到的内容放到一个列表中","12,",2,0,0,文件和数据处理,0,0
6096,0,1,"add=['北京','上海','广州','深圳'] f=open('city.csv','w') f.write(','.join(add)+'\n') f.close() 下列说法错误的是? ( )","f=open('city.csv','w')说明当前是写入模式","f.write(','.join(add)+'\n')语句改成f.write(' '.join(add)+'\n'),程序运行效果一样","删除f.close()语句,不能正确保存文件",当前程序的功能是将列表对象输出到CSV文件,B,,"12,",2,0,0,文件和数据处理,0,0
6099,0,1,"当发生异常时,下列描述正确的是? ( )","需要捕获异常,然后进行相应的处理",需要把可能发生错误的语句放在except模块里,需要把处理异常的语句放在try模块里,需要为每一个try模块设定且只能设定一个except模块,A,,"12,",2,0,0,异常处理,0,0
6101,0,1,"下列程序段在运行时输入""2"",则输出结果是? ( ) try: a=eval(input()) print(a) except NameError: print('Error!')","""2""",2.0,Error!,2,D,,"12,",2,0,0,异常处理,0,0
6104,0,1,"下列程序运行结果是? ( ) a=""2"" b=""3"" c=int(a+b) print(c)",5,"""5""",5.0,23,D,,"12,",2,0,0,字符串,0,0
6106,0,1,"执行代码a,b,c=sorted((1,3,2))之后,变量b的值为? ( )",1,3,2,"(1,3,2)",C,,"12,",2,0,1,核心内置函数,0,0
