id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
7022,0,1,"如下所示的2行代码,最后print()函数打印出来的结果是?( ) c = [['赵大',21,'男','北京'],['钱二',20,'男','西安'],['孙三',18,'女','南京'],['李四',20,'女','杭州']] print(c[1][3])",男,北京,西安,女,C,"考查学生对二维列表中,每个列表值顺序的理解.","12,",2,0,0,列表,0,0
7023,1,1,"要读取下图""书目.csv""文件的全部内容,小明编写了后面4行代码.请问,红色 ① 处,应该填写哪种打开模式?( ) f = open(""书目.csv"" , ① ) a = f.read() print(a) f.close","""w""","""a""","""r""","""a+""",C,"考查学生对open()函数参数的掌握.本题除了选项C,填写打开模式为只读r之外,参数W会清除文件内容,显然不对,参数a与a+,指针在末尾,读不出内容,也不对.","12,",2,0,0,文件和数据处理,0,0
7024,1,1,"下图所示,有一个名为""书目.csv""的文件.小明针对这个文件编写了5行代码, 请问,代码运行到最后打印在屏幕上的结果是?( ) with open('书目.csv', 'r', encoding='utf-8') as f: for line in f.readlines(): a = line.split("","") if a[0] == ""水浒传"" : print(a[1])",老残游记,172,55,70,D,"本题考查学生对列表切片中,每个数据位置的理解 .此题中的a[1],应该对应水浒传的价格,所以正确答案是70.","12,",2,0,0,文件和数据处理,0,0
7025,0,1,"小明编写了下列4行代码,请问,代码运行到最后,屏幕上打印出来的结果是?( ) a = ['a','b','c'] b = [1,2,3] c = [b,a] print(c[1][0])",1,a,'1',红,D,"考查学生对嵌套列表中,元素位置的理解.同时考查学生对用已有列表创建新列表的理解.","12,",2,0,0,列表,0,0
7026,1,1,"下图左边的""身体素质.csv""文件,要打印成下图右边的效果,每个字段之间相隔一个TAB键的距离.小明编写了如下代码,请选择:代码中横线处的内容?( ) f = open('身体素质.csv', 'r') a = [] for i in f: a.append(i.strip('\n').split(',')) f.close for x in a: line='' for y in x: line += '{ } '.format(y) print(line)",\t,\n,\a,\r,A,\t插入一个TAB键的距离.,"12,",2,0,0,文件和数据处理,0,0
7027,0,1,"在Python异常处理结构中,如果程序执行没有遇到异常(错误),不会执行什么关键字后面的语句体?( )",try,except,else,finally,B,"在异常处理程序中,没有错误(异常),就跳过except语句体的执行.","12,",2,0,0,异常处理,0,0
7028,0,1,"运行下列程序,输出的结果是?( ) try: a=int(input()) b=int(input()) r=a/b print('商是:',r) except: print('错误') else: print('正确') finally: print('结束') 当输入: 16 8",错误,商是: 2.0 正确,商是: 2 正确 结束,商是: 2.0正确结束,D,"辨析异常处理的执行程序过程:如果try正确就到else,如果try错误就到except;最后都要执行finally.","12,",2,0,0,异常处理,0,0
7029,0,1,"Python中将十进制20转化成八进制,我们可以使用下列哪个表达式?( )",bin(20),int(20),oct(20),hex(20),C,用python中的数制转换函数进行十进制与八进制的转换,"12,",2,0,0,"编码,数制",0,0
7030,0,1,"下列进制转换,正确的是?( )","0x14转化为十进制,结果是20.","20转化成八进制,结果是0o20.","0x14转化为十进制,结果是22.","20转化成八进制,结果是0o30.",A,"二进制,十进制,十六进制的概念及互相转换,并且会使用Python中的数制转换函数.","12,",2,0,0,"编码,数制",0,0
7032,0,1,"关于二进制,八进制,十六进制与十进制相互转换,下列说法正确的是?( )","十六进制转化为十进制,可以使用除16求余数,再顺序输出.","二进制转化为十进制,可以使用除2求余数,再逆序输出.","十六进制转化为十进制,可以使用除16求余数,再逆序输出.",n位二进制能表示的最大十进制数是2的n次方减一.,D,理解n位二进制能表示的最大十进制数是2的n次方减一.,"12,",2,0,0,"编码,数制",0,0
7034,0,1,"将十进制2022转化成十六进制,可以使用下列哪个表达式?( )",bin(2022),int(2022),oct(2022),hex(2022),D,"hex(2022)运行结果是'0x7e6',为十六进制.","12,",2,0,0,"编码,数制",0,0
7036,0,1,abs(-4.8)运行的结果是?( ),4.8,-4,-5,5,A,abs()是求绝对值函数.,"12,",2,0,0,核心内置函数,0,0
7038,0,1,"关于ord( )函数与chr( )函数,下列说法正确的是?( )",ord( )函数的参数是整数.,ord( )函数的参数是字符串类型.,chr( )函数的参数是字符串类型.,chr( )函数返回的数据类型是int.,B,ord( )函数是返回字符所对应的ASCII值.因此其参数为字符串类型.chr()函数是将对应的ASCII值转换为相应字符.其参数为数值.,"12,",2,0,0,核心内置函数,0,0
7039,0,1,"运行下列程序,输出的结果是?( )a=[34,7,8,23]max(a)+abs(-5)",12,13,18,39,D,"max()是求最大值,abs()是求绝对值.故程序的功能是将34与5相加.","12,",2,0,0,核心内置函数,0,0
7040,0,1,set('小明你好')运行的结果是?( ),"['好', '你', '明', '小'] # 列表中,文字顺序不固定","('好', '你', '明', '小') #元组中,文字顺序不固定","{'好', '你', '明', '小'} #集合中,文字顺序不固定","{'你', '好', '小', '明'} #文字顺序固定",C,"set()函数可将文本转为集合,集合的特点是元素顺序不固定,所以正确答案是C.","12,",2,0,0,核心内置函数,0,0
7042,0,1,"如下程序: a=[5,10,32,7] for i in a: print(i,"":"",bin(i)) 该程序段的功能是?( )","分别输出5,10,32,7的二进制数.","分别输出5,10,32,7的八进制数.","分别输出5,10,32,7的在列表中的索引位置.","分别输出5,10,32,7的十六进制数.",A,"bin() 转换为二进制,oct() 转换为八进制,hex() 转换为十六进制.故程序功能是将列表中数字一一转换为对应的二进制数.","12,",2,0,0,"编码,数制",0,0
7044,0,1,下列表达式的值最大的选项是?( ),"len([1,2,3,4,5,789])","max([78,6,5,67] )",abs(-90),round(38.4),C,"len()表示求长度,为6;max()表示求最大值,为78;abs()求绝对值,为90;round()表示四舍五入,小数位数参数省略表示保留到整数位,为38.","12,",2,0,0,核心内置函数,0,0
7045,0,1,"divmod(6,2)的运行结果是?( )",8,4,"(3,0)","(0,3)",C,"divmod(6,2)返回包含商和余数的元组,即(3,0).","12,",2,0,0,核心内置函数,0,0
7046,0,1,"如果不知道对象的数据类型,我们可以使用什么函数查看?( )",type(),dir(),set(),help(),A,type()函数返回对象的类型.,"12,",2,0,0,核心内置函数,0,0
7050,0,1,"运行下列程序,输出的结果是?( ) x=7 print(eval(""x+4""))","输出""x+4""",输出数字11,"输出""7+4""",程序出错,B,"eval() 函数用来执行一个字符串表达式,并返回表达式的值,因此输出7+4的计算结果.","12,",2,0,0,核心内置函数,0,0
7052,0,1,关于enumerate()函数的说法不正确的是?( ),该函数是Python内置函数.,该函数可用于判断数据类型是否是数值类型.,该函数可将一个可遍历对象按照设置的序号组合成一个索引序列.,"该函数通常用在for循环中,可返回一个内部由一个个元组组成的列表.",B,"enumerate()函数是Python的内置函数,可以将一个可遍历/可迭代对象按照设置的序号组成一个索引序列,通常结合for循环使用,返回一个列表,内部由序号和原有元素组成的元组组成.","12,",2,0,0,核心内置函数,0,0
7053,0,1,"enumerate()函数用于将一个可遍历的数据对象(如列表,元组或字符串)组合为一个索引序列.下列程序 example = '7890' for i,j in enumerate(example): print(i,j) 运行后的输出结果是?( )","0,7 1,8 2,9 3,0",(0 7) (1 8) (2 9) (3 0),0 7 1 8 2 9 3 0,"(0,7) (1,8) (2,9) (3,0)",C,"本题考查学生对enumerate()函数的理解与掌握,正确答案是选项C.","12,",2,0,0,核心内置函数,0,0
7055,0,1,"关于算法描述的三种基本结构,下列哪项正确?( )","顺序结构,选择结构,循环结构.","if选择结构,for循环,while循环.","处理框,判断框,流程线.","自然语言,流程图,程序设计语言.",A,,"12,",2,0,0,算法基础,0,0
7058,0,1,"""韩信点兵""是一个古老的数学问题,可以应用中国剩余定理进行求解.以下是使用计算机解决""韩信点兵""问题的几个步骤: ①编写Python程序,用计算机进行处理. ②设计""韩信点兵""求解算法. ③验证算法的功能和性能. ④分析问题,确定解题任务. 使用计算机解决""韩信点兵""问题,正确的步骤是下列哪一项?( )",②④①③,④①②③,④②③①,④②①③,D,,"12,",2,0,0,文件和数据处理,0,0
7059,0,1,小明使用Python编程模拟绘制了物体在自由落体运动过程中产生的抛物线轨迹.小明设计的这一算法属于下列哪一种?( ),枚举算法,解析算法,排序算法,对分查找算法,B,,"12,",2,0,0,解析算法,0,0
