id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1846434051810840578,0,1,以下表达式的值为True的是?( ),"all(' ','1','2','3')",any([]),bool('abc'),"divmod(6,0)",C,"A和B选项,False;D选项,报错;C选项,True.",2,0,0,核心内置函数,0,0
1846434193500065793,0,1,"下列代码的运行结果是?( ) l=list(map(float, (1,2,3,4))) print(l)","[1,2,3,4]","['1','2','3','4']","[1.0,2.0,3.0,4.0]","['1.0','2.0','3.0','4.0']",C,将元组转换成浮点型列表.,2,0,0,"元组,列表",0,0
1846434385423028226,0,1,"关于filter()函数的使用,以下哪个选项不正确?( )",filter()函数可以用于过滤出一个序列里符合函数功能的元素,filter()函数接收两个参数,filter()函数只能过滤列表,filter()函数可与lambda匿名函数一起使用,C,"filter()可以过滤列表,元组,集合或字符串等.",3,0,0,核心内置函数,0,0
1846434563186020354,0,1,"运行以下代码,得到的结果是?( ) a='20' b='24' print(a+b)",44,2024,20+24,'44',B,两个字符串相加.,2,0,0,字符串,0,0
1846434717742309378,0,1,"表达式[1, 2, 3]*3的执行结果为?( )","[3,6,9]","[1,2,3],[1,2,3,],[1,2,3,]","[1, 2, 3, 1, 2, 3, 1, 2, 3]",[123123123],C,将列表连续输出3次.,2,0,0,列表,0,0
1846435022798233601,0,1,"表达式[3] in [1, 2, 3, 4]的结果是?( )",2,3,False,True,C,"[3]in[1,2,3,4]是后面这个列表是否包含另一个列表,且这个列表里面还有个数字3,显然不包含,所以是False.",2,0,0,列表,0,0
1846435115290644481,0,1,表达式 sum(range(5)) 的值为?( ),5,55,10,15,C,0到4相加等于10.,2,0,0,元组,0,0
1846435237129539585,0,1,"表达式list(map(str, [1, 2, 3, 4, 5])) 的值为?( )","[1,2,3,4,5]","{1,2,3,4,5}","['1','2','3','4','5']","{'1','2','3','4','5'}",C,将序列中的元素从整型转换为字符串类型.,2,0,0,字符串,0,0
1846435379997364226,0,1,"表达式divmod(6,2)结果为?( )",(3),(0),"(3,0)","[3,0]",C,"divmod(6,2)返回一个元组(6//2,6%3),余数为0不能省略.",2,0,0,元组,0,0
1846435488696946689,0,1,"运行以下代码,输出的结果是?( ) s='abcdefg' print(min(s)+max(s))",ag,a,g,ga,A,"s='abcdefg',min(s)='a',max(s)='g',所以结果为两个字符串相连,正确答案为:ag.",2,0,0,字符串,0,0
1846435632463663106,0,1,"运行程序,下列说法正确的是?( ) c=[""立春"",""雨水""] f=open(""jieqi.csv"",""a"") f.write("","".join(c)+""\n"") f.close()","如果存在jieqi.csv文件,将覆盖jieqi.csv文件内容","如果不存在jieqi.csv文件,将产生一个jieqi.csv文件",程序运行后jieqi.csv文件内容不变,程序运行错误,B,"将列表对象输出为csv格式文件,如果不存在jieqi.csv文件,将产生一个jieqi.csv文件.参数""a"",为非覆盖,在原有内容之后,继续增加内容.",3,0,0,字符串,0,0
1846436874910224385,0,1,"使用with语句可以读取csv格式文件中的数据,下图所示,有一个名为""jieqi.csv""的文件,小明针对这个文件编写如下代码,请问代码运行后打印在屏幕上的结果是?( ) with open(""jieqi.csv"",""r"") as f: c=f.read().strip().split("","") print(c)","立春,雨水,惊蛰,春分","[立春,雨水,惊蛰,春分]","['立春,雨水,惊蛰,春分']","['立春','雨水','惊蛰','春分']",D,"从csv格式文件中读出数据,表示为列表对象.",2,0,0,文件和数据处理,0,0
1846437345195118593,0,1,"使用 readline()和readlines()函数可以读取txt文件中的数据.D盘""jieqi.txt""文件内容如下图,小明编写了下面代码,运行后打印在屏幕上的结果是?( ) f=open(r""D:\jieqi.txt"", ""r"") s = f.readline() s1=f.readlines() f.close() print(s1)",立春,雨水,"[雨水,惊蛰,春分]","['雨水\n','惊蛰\n','春分\n']",D,"readline() 每次读出一行内容,返回一个字符串对象,文件指针下移.readlines()读取下面整个文件所有行,保存在一个列表变量中,每行作为一个元素.",2,0,0,文件和数据处理,0,0
1846442061196861442,0,1,"使用open函数打开一个csv格式文件后,如果要将整个文件里的内容读取存放到一个字符串变量中,需要使用以下文件操作的哪个函数?( )",read(),readline(),readlines(),write(),A,"read() 方法用于从文件读取指定的字节数,默认读取整个文件.readline() 每次读出一行内容,返回一个字符串对象.readlines() 方法用于读取所有行并返回列表.write() 用于向文件中写入指定字符串.",3,0,0,文件和数据处理,0,0
1846442251345633281,0,1,"将水果价格一维数据['苹果','8元']写入""jiage.csv""文件操作,横线上填写正确的是?( ) f = open(""jiage.csv"", ""w"") ls = ['苹果','8元'] f._____("","".join(ls)+ ""\n"") f.close()",insert,append,write,read,C,write() 用于向文件中写入指定字符串.,3,0,0,文件和数据处理,0,0
1846442376549421058,0,1,下列哪个选项不是 bin() 函数返回值的特点?( ),"它以 '0b' 开头,表示这是一个二进制数",它只包含字符 '0' 和 '1',它的长度总是固定的,它表示的是输入整数的二进制表示,C,"bin() 函数返回的字符串长度不是固定的,它取决于输入整数的二进制表示所需的位数.例如,bin(2) 返回 '0b10',而 bin(10) 返回 '0b1010'.因此,选项 C(它的长度总是固定的)不是 bin() 函数返回值的特点. 其他选项 A,B 和 D 都是正确的.",2,0,0,文件和数据处理,0,0
1846446525922594817,0,1,"对分查找,也称作二分查找,对一个列表中的元素进行对分查找的前提条件是?( )",列表元素无序,列表元素有序,列表元素唯一,列表元素数量必须是偶数,B,"对分查找是一种基于比较的查找算法,它要求列表元素有序,以便在每次比较时能够缩小搜索范围.",3,0,0,对分查找,0,0
