id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
5011,0,1,"有如下 Python 程序段: x,y=12,5 if x % y==0: z=x/y print(x,""/"",y,""="",z) else: z=y*x print(x,""*"",y,""="",z) 程序段执行后,输出的结果为?( )",x/y=2.4,x*y=60,12/5=2.4,12*5=60,D,"因为 x%y=2 ,因此执行 else 中的语句,即 z=60 ,输出结果为 12*5=60 ,答案为 D .","10,",4,0,0,分支结构,0,0
5012,0,1,下列创建元组的方法中不正确的是?,"t=(1,2,' 信息 ' )",t=(1),"t=(' 信息 ',)","t=' 音乐 ',' 体育 ',' 美术 '",B,"只有一个元素的元组,在定义时,需要添加一个逗号, t=(1,)","10,",3,0,0,不可变序列-元组,0,0
5013,0,1,"s='语文,数学,英语,信息技术' l=s.split(',') print(l) 以上代码的运行结果为?","[' 语文 ', ' 数学 ', ' 英语 ', ' 信息技术 ']","[' 语文,数学,英语,信息技术 ']","(' 语文 ', ' 数学 ', ' 英语 ', ' 信息技术 ')","(' 语文,数学,英语,信息技术 ')",A,"split() 通过指定分隔符对字符串进行切片,返回分割后的字符串列表.语法: str.split(str="""",num=string.count(str)). 本题中 str 分隔符为 "" , "" ,所以被分隔为 [' 语文 ', ' 数学 ', ' 英语 ', ' 信息技术 ']","10,",4,0,0,字符串,0,0
5014,0,1,"已知存在字典 a 中有多个键值对,以下指令可以清空字典并保留变量的是?",a.remove(),a.pop(),a.clear(),del a,C,根据题意应该选择 C,"10,",3,0,0,可变序列-列表,0,0
5015,0,1,"以下程序的运行结果是? list1=[1,2,3] list1[2]=4 print(list1)","[1,2,4]","[1,2,3]","[1,4,3]","[1,4]",A,,"10,",4,0,0,可变序列-列表,0,0
5016,0,1,"执行下列代码后,运行结果是? l1 = [11, 22, 33] l2 = [66, 44, 22] for i in l1: for j in l2: if i == j: print(i)",True,0,2,22,D,掌握循环嵌套的使用,"10,",5,0,0,"可变序列-列表,循环结构,分支结构",0,0
5017,0,1,执行以下语句后的输出结果是? >>> str1='My name is BeiJing' >>> print(len(str1)),20,18,15,16,B,,"10,",4,0,0,字符串,0,0
5018,0,1,"列表 a=[1,2,3,4,5,6,7,8,9], 对列表进行切片操作,要想得到 [3,5,7] ,以下切片正确的是?",a[-7:-2:-2],a[2:7:2],a[3:7:2],a[2:7:-2],B,,"10,",4,0,0,可变序列-列表,0,0
5019,0,1,"执行以下语句,将输出? >>>list1=['b','c',1,2,3,4,5] >>>list1.append('a') >>>list1.append('a') >>>list1","['b','c',1,2,3,4,5]","['b','c',1,2,3,4,5,'a']","['b','c',1,2,3,4,5,'a','a']",无输出,C,,"10,",3,0,0,可变序列-列表,0,0
5020,0,1,不能用作 if 语句条件表达式的是?,x in range(6),3=a,a>3 and b<10,x-6>5,B,能够合理设置 if 语句的条件,"10,",4,0,0,分支结构,0,0
5021,0,1,"执行以下语句后,输出的结果是? >>>list2 = ['a',1, 2, 3, 4, 5 ] >>>print(list2[5])",5,4,3,提示错误,A,,"10,",4,0,0,可变序列-列表,0,0
