id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1846116496065220609,0,1,"a = ['甲','乙','丙','丁','子','丑'] print(a[4]) 以上代码的输出是?( )",丁,['丁'],['子'],子,D,"列表的下标从0开始,所以是第五个元素'子',元素是不带[]的,所以选D",3,0,0,可变序列-列表,0,0
1846116685566627841,0,1,"语句"","".join(""新年快乐"")的运行结果是?( )","'新,年,快,乐'",'新年快乐','新 年 快 乐',"'新,年,快,乐'",A,"本题考察的是字符串str.join(iter)方法,该方法的作用是在iter变量除最后元素外每个元素后增加一个str.例如"","".join(""12345"") 结果为""1,2,3,4,5"".",4,0,0,字符串,0,0
1846116847296618497,0,1,"语句""I like program"".replace(""m"",""mming"") 的运行结果?( )",'I like program','I like programming','I like programing',"""I like programmming""",B,"本题考察的是str.replace(old, new)方法,该方法的作用是返回字符串str副本,所有old子串被替换为new.",5,0,0,字符串,0,0
1846116974222823425,0,1,"ls = ['a', 'b', 'c', 'd', 'e'],下列哪个选项可以将 ls 中的元素顺序整体反转?( )",ls.insert('f'),ls.extend('f'),ls.reverse(),ls.add('f'),C,"本题考察的是列表元素的反转操作,该操作的方法是ls.reverse().",4,0,0,可变序列-列表,0,0
1846117151121788930,0,1,"已知 stu = {""一班"":""杨思甜"", ""二班"":""赵柏瑞"", ""三班"":""王一乐"", ""四班"":""刘道林""},则输出所有班级及对应姓名(键值对)的命令是?( )",print(stu.keys()),print(stu.values()),print(stu.items()),print(stu.clear()),C,items()返回字典中所有键值对的信息.,3,0,0,字典,0,0
1846117277840101377,0,1,"运行下列代码,终端区打印的结果是?( ) shiju=[""众鸟高飞尽,孤云独去闲"",'言我独坐之时',""湖光秋月两相和""] shiju.remove(""潭面无风镜未磨"") print(shiju)","[""众鸟高飞尽,孤云独去闲"",'言我独坐之时',""湖光秋月两相和"",""潭面无风镜未磨""]","[""众鸟高飞尽,孤云独去闲"",'言我独坐之时',""湖光秋月两相和""]","['众鸟高飞尽,孤云独去闲','言我独坐之时', '湖光秋月两相和']",终端区会报错,D,"使用remove()方法删除元素时,如果指定的元素不存在,将会报错.故本题答案选D",4,0,0,可变序列-列表,0,0
1846117541047083010,0,1,"已知一个元组planet=('地球',46,('化石','岩石'),[""金星"",""水星"",""木星"",""天王星""]) ,要访问元组planet的前3个元素,可以使用以下代码?( )",print(planet[1:3]),print(planet[:3]),print(planet[1:3:2]),print(planet[::3]),B,"元组可以利用切片方式获取指定的元素.print(planet[:3])等价于print(planet[0:3:1]),作用是访问planet的前3个元素;print(planet[1:3])作用是访问planet的第2个和第3个元素;print(planet[1:3:2])作用是访问planet的第2个元素;print(planet[::3])作用是访问planet的第1个和第4个元素.故正确答案为B.",4,0,0,可变序列-列表,0,0
1846117770792456193,0,1,"以下选项中,哪段代码不能实现循环10次? (提醒:是不能实现) ( )",for i in range(10):,"for i in range(1,20,2):","for i in range(1,20): i=i+2",i=0 while i<10: i=i+1,C,"C选项i循环了19次,i的初始值依次为1,2,3......19,后面虽然进行了i=i+2的计算,但是当再次开始循环的时候,i又被重新赋值为初始值中的相关次数的值.故正确答案为C.",4,0,0,循环结构,0,0
1846378842297782274,0,1,"ls1=['榴莲','芒果','椰子','杨桃','柠檬','百香果','橄榄','木瓜'] ls1.append(['枇杷','火龙果']) print(ls1) 以上代码输出的结果是?( )","['榴莲','芒果','椰子','杨桃','柠檬','百香果','橄榄','木瓜']","['榴莲','芒果','椰子','杨桃','柠檬','百香果','橄榄','木瓜',['枇杷','火龙果']]","['榴莲','芒果','椰子','杨桃','柠檬','百香果','橄榄','木瓜','枇杷','火龙果']","['榴莲','芒果','椰子','杨桃','柠檬','百香果','橄榄','木瓜','枇杷',['火龙果']]",B,"列表中使用append()函数,是向原有列表增加一个元素,一个元素可以是整数,浮点数,字符串,列表,元组等.本题中,将一个列表作为一个元素整体增加到ls1列表中.所以选B",4,0,0,可变序列-列表,0,0
1846387539521228801,0,1,"藏头诗,又名""藏头格"",是杂体诗中的一种.藏头诗有三种形式,比较常见的是把每句的第一个字连起来读,可以传达作者的某种特有思想.例如明代徐渭经典的藏头诗,就将""平湖秋月""藏于诗中.阿宝尝试编写程序,将""平湖秋月""从诗中自动提取出来,以下程序正确的是?( )","ls=['平湖一色万顷秋','湖光渺渺水长流','秋月圆圆世间少','月好四时最宜秋'] print(ls[0]+ls[1]+ls[2]+ls[3])","ls=['平湖一色万顷秋','湖光渺渺水长流','秋月圆圆世间少','月好四时最宜秋'] print(ls[0][0]+ls[1][0]+ls[2][0]+ls[3][0])","ls=['平湖一色万顷秋','湖光渺渺水长流','秋月圆圆世间少','月好四时最宜秋'] print(ls[0][1]+ls[0][2]+ls[0][3]+ls[0][4])","ls=['平湖一色万顷秋','湖光渺渺水长流','秋月圆圆世间少','月好四时最宜秋'] print(ls[0][0]+ls[1][1]+ls[2][2]+ls[3][3])",B,"不调用循环直接从列表元素的字符串中提取,正确的结果应为:ls[0][0]+ls[1][0]+ls[2][0]+ls[3][0],第一个代表的是列表中的元素的下标,第二个代表的是字符串中元素的下标.",4,0,0,可变序列-列表,0,0
