id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1909119292771311617,0,1,"老师要求大家记住四大名著的作者,小明机智地想到了可以用字典进行记录,以下哪个选项的字典格式是正确?( )","['曹雪芹':'红楼梦', '吴承恩':'西游记', '罗贯中':'三国演义', '施耐庵:'水浒传']","{'曹雪芹'-'红楼梦', '吴承恩'-'西游记', '罗贯中'-'三国演义', '施耐庵-'水浒传'}",{'曹雪芹':'红楼梦'; '吴承恩':'西游记'; '罗贯中':'三国演义'; '施耐庵:'水浒传'},"{'曹雪芹':'红楼梦', '吴承恩':'西游记', '罗贯中':'三国演义', '施耐庵':'水浒传'}",D,"字典是用大括号括起来的,排除 A;字典中键值对中间是冒号,排除B,字典每个键值对之间,要用逗号隔开,排除 C",0,0,0,0
1909119432276234242,0,1,"已知列表a = [11,222, 333 ,4444],以下能输出333的代码是?( )",print(a[-1]),print(a[3]),print(a[333]),print(a[2]),D,"列表的索引是从0开始,如果是反索引,则是从-1开始,所以本题的答案为D",0,0,0,0
1909120232746569730,0,1,"已知字符串str1 = 'welcome to China',word = 'some',查询word在str1中首次出现的位置,以下代码正确的是?( )",print(str1.index(word)),print(str1.find(word)),"print(str1.find(str1, word))","print(str1.index(str1, word))",B,"字符串查找2个函数:find,index的区别.find找到则返回位置,未找到返回－1,index未找到会报错",0,0,0,0
1909129867748352002,0,1,"已知 stu = [""Jim"",""Lucy"",""Tom"",""Jane""],则执行 stu[2]=""Jun"",stu 的值是哪一个?( )","[""Jun"",""Lucy"",""Tom"",""Jane""]","[""Jim"",""Lucy"",""Jim"",""Jun""]","[""Jim"",""Lucy"",""Jun"",""Jane""]","[""Jim"",""Jun"",""Tom"",""Jane""]",C,"本题考察的实列表的赋值,stu[2]=""Jun""是将第三个元素修改为Jun,所以选C.",0,0,0,0
1909130051788394497,0,1,哪个选项是程序设计的三种基本结构?( ),"顺序结构,跳转结构,循环结构","顺序结构,循环结构,分支结构","过程结构,对象结构,函数结构","过程结构,循环结构,分支结构",B,"程序设计的三种基本结构是顺序结构,分支结构和循环结构.",0,0,0,0
1909130137118756866,0,1,s = 8 while s > 1: print(s) s = s/2 上述程序的s输出了几次?( ),8,3,4,2,B,"当型循环,当s>1时,执行循环体,否则跳出循环.s的结果是8,4.0,2.0",0,0,0,0
1909130256665190401,0,1,哪个选项不是Python程序分支结构的保留字?( ),if,elif,else,try,D,try是异常处理的保留字.,0,0,0,0
1909130373887217665,0,1,"运行下列代码,终端区打印的结果是?( ) dic={'qq':26453343,'weixin':35345749,'qq':394594540,'face':979789490} print(dic['qq'])",'qq':26453343,'qq':394594540,394594540,26453343,C,"字典中,如果同一个键出现两次,则后一个值会被记住;print(dic['qq'])是输出键'qq'对应的值.故正确答案为C.",0,0,0,0
1909130604250976258,0,1,"以下选项中,创建了只含有1个元素的元组的是?( )","t=(2025,)",t=(2025),t={2025},t=[2025],A,"在python中,元组的创建可使用小括号().当元组中只有一个元素时,元素后面必须添加一个逗号,否则创建的不是元组.",0,0,0,0
1909130746459234306,0,1,"tup1=('物理','化学','政治') tup1[2]='生物' print(tup1) 以上程序运行的结果是?( )","('物理','化学','政治','生物')","('物理','化学','生物')",终端区会报错,"('物理','生物','政治')",C,"元组中的元素在创建时就固定了,不能改变.",0,0,0,0
1909131227346948098,0,1,"for i in (1,2,3,4,5,6,7,8,9,10): if i==4: continue print(i,end="","") 以上程序运行的结果是?( )","1,2,3,4,5,6,7,8,9,10","1,2,3,5,6,7,8,9,10","1,2,3","1,2,3,5,6,7,8,9,10,",D,"for循环可以遍历任何序列的项目,如列表,元组.在循环语句中,continue语句是跳过当前循环,进入下一个循环.最终,通过print()按照小括号指定格式输出.",0,0,0,0
1909131335343329281,0,1,"以下程序段运行的结果是?( ) ls=[23,19,30,87,42,58,99,14] ls.insert(-2,6)","[23, 19, 6, 30, 87, 42, 58, 99, 14]","[23, 19, 30, 87, 42, 58, 6, 99, 14]","[23, 19, 30, 87, 42, 58, -2, 99, 14]","[23, 19, 30, 87, 42, 58, 99, 6, 14]",B,"ls.insert(-2,6)第一个参数-2(倒数第二个)表示待插入元素的索引,第二个参数6表示待插入元素.",0,0,0,0
1909131433811562497,0,1,"小明在数学课上学习了如何计算长方形的面积.现在,他有一个长为6厘米,宽为4厘米的长方形.如果他用Python来表示这个长方形的长和宽,并且想要保证这些数据不能被修改,下面哪种数据类型最符合该要求:一旦确立不能被修改?( )",列表,元组,字典,除了元组外都符合,B,元组具有不可修改的性质.,0,0,0,0
1909131546176966657,0,1,"小明和朋友们玩一个猜谜语的游戏,每人轮流出一个谜语,直到有人猜对为止.如果这个场景是在Python编程中,下面哪个函数或者命令可以实现有人猜对时直接结束退出循环,应该怎么做?( )",使用if语句检查答案是否正确,使用while循环让每个人轮流出题,使用break语句在猜对时结束游戏,使用continue语句让下一个人出题,C,"在猜谜语的游戏中,一旦有人猜对,游戏就应该结束.对应Python编程环境就是满足条件退出当前循环,可以通过在猜对时使用break语句来实现.",0,0,0,0
1909132477606055937,0,1,"已知列表cities = ['beijing', 'shanghai', 'guangzhou', 'shenzhen'],以下哪个命令可以删除最后一个列表元素'shenzhen'?( )",cities.del(),cities.pop(),cities.remove(),cities.pop(4),B,"该列表中最后一个元素的索引是3,故选项A的del方法需传入参数索引3,选项D的pop方法需将参数值索引4改为3;选项C的remove方法需传入参数值shenzhen;因此,选项A,C,D均错误;pop()方法无参数时默认删除最后一个元素,故本题正确答案为选项B.",0,0,0,0
1909132657253732353,0,1,"已知列表list = ['d','r','a','g','o','n'],执行一次命令list.append('s')后,print(list)的输出结果是?( )","['d','r','a','g','o','n']","['s','d','r','a','g','o','n']",[  ],"['d','r','a','g','o','n','s']",D,"list.append('s')函数的作用是将元素's'添加到列表list的末尾,故本题答案为选项D.",0,0,0,0
1909132761730031618,0,1,"执行语句print(""这{1}箱橙子的重量为{0}公斤."".format(5,3)),得到的输出结果是?( )",这3箱橙子的重量为5公斤,这5箱橙子的重量为3公斤,这{3}箱橙子的重量为{5.00}公斤,这3箱橙子的重量为{3.0}公斤,A,"字符串的format()方法格式化输出时,字符串中的槽{}的默认顺序是0,1,2,..., format()参数的顺序也是0,1,2,...,字符串中槽中的数字序号可以改变参数的顺序,本题中槽{1}处对应的参数是3,{0}对应的参数是5,故本题正确答案为选项A.",0,0,0,0
1909133010811146242,0,1,"关于字典的描述,下列选项中说法错误的是?( )",字典是一种不可变的复合数据类型,"字典中的元素由键值对组成,键值对中键和值由冒号分隔",字典中所有的键值对由{}括起来,字典中的键值对之间用逗号分隔,A,字典是一种可变的复合数据类型.所以本题正确答案为A.,0,0,0,0
1909133094459592706,0,1,"王老师将学生成绩存入字典score中,score = {'语文': 90, '数学': 99, '英语': 99},则执行print((score['语文']+score['数学']+score['英语']) // 3),输出结果为?( )",96.0,96,1.0,1,B,"本题是计算三个科目的整数平均分,通过字典中的键可以访问值,即90+99+99的和整除3,结果为96.所以本题正确答案为B.",0,0,0,0
1909133332717412353,0,1,"学校要举办运动会,列表 list1 = [""短跑"", ""篮球"", ""跳远"", ""足球"", ""跳绳""] 中保存了可以参加的项目,小明想报名参加足球,下面哪一项可以打印出足球?( )",print( list1[0] ),print( list1[2] ),print( list1[3] ),print( list1[4] ),C,列表的索引是从0开始的.,0,0,0,0
1909133449658421250,0,1,"小红是一名爱好广泛的小学生,为了方便记录,她将自己三个爱好按喜欢程度保存在列表list1中,list1 = [""舞蹈"", ""画画"", ""陶艺""],最近她迷上了编程,想把第一爱好舞蹈修改为编程,下面是她写的程序,请你选出能实现此功能的程序?( )","list1[1] = ""编程""","list1[2] = ""编程""","list1[3] = ""编程""","list1[0] = ""编程""",D,"要修改的列表元素,下标为0.",0,0,0,0
